dist_top, dist_bottom, dist_left, dist_right, dist_head_tail, dist_candy, move, score, result
947.0, 23.0, 15.0, 932.0, -1, 372.6674120445736,1,0,1
851.0, 119.0, 110.0, 837.0, 85.7962703152066, 243.70473938764508,3,0,1
755.0, 215.0, 238.0, 709.0, 97.32420048477151, 131.93938001976514,3,0,1
755.0, 215.0, 430.0, 517.0, 112.0, 257.9922479455536,0,0,1
915.0, 55.0, 494.0, 453.0, 107.11675872616759, 407.29350596345137,2,0,1
962.0, 8.0, 478.0, 469.0, -1, 431.5194086017453,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 486.49049322674335,0,0,1
970.0, 0.0, 0.0, 947.0, 51.42956348249516, 509.5772757884716,3,0,0
947.0, 23.0, 15.0, 932.0, -1, 100.24470060806208,2,0,1
947.0, 23.0, 206.0, 741.0, 80.0, 101.19288512538814,3,0,1
947.0, 23.0, 398.0, 549.0, 80.0, 289.77232442039735,1,0,1
819.0, 151.0, 494.0, 453.0, 80.0, 395.8181400592954,2,0,1
755.0, 215.0, 366.0, 581.0, 80.0, 301.8873962258113,0,0,1
883.0, 87.0, 270.0, 677.0, 80.0, 163.1686244349691,0,0,1
962.0, 8.0, 255.0, 692.0, 64.76109943476871, 152.42703172337903,3,0,0
947.0, 23.0, 15.0, 932.0, -1, 745.8478397099504,2,0,1
947.0, 23.0, 110.0, 837.0, 63.0, 701.8147903827619,2,0,1
947.0, 23.0, 270.0, 677.0, 143.0, 652.6744977398764,1,0,1
851.0, 119.0, 302.0, 645.0, 148.00337833982033, 552.4056480522262,0,0,1
691.0, 279.0, 302.0, 645.0, 219.69296757065302, 395.8181400592954,0,0,1
531.0, 439.0, 302.0, 645.0, 308.9158461458395, 243.70473938764508,3,0,1
467.0, 503.0, 398.0, 549.0, 335.00597009605667, 160.0,0,0,1
563.0, 407.0, 462.0, 485.0, 242.1652328473268, 263.8787600395303,3,0,1
627.0, 343.0, 558.0, 389.0, 262.15453457836657, 357.77087639996637,3,0,1
627.0, 343.0, 718.0, 229.0, 378.90368169232664, 452.54833995939043,1,0,1
531.0, 439.0, 782.0, 165.0, 421.7167295709289, 444.5582076623937,0,0,1
371.0, 599.0, 782.0, 165.0, 462.0876540224809, 389.29680193908604,0,0,1
211.0, 759.0, 782.0, 165.0, 533.8108279156578, 395.8181400592954,2,0,1
147.0, 823.0, 686.0, 261.0, 461.64163590386863, 329.460164511584,0,0,1
243.0, 727.0, 622.0, 325.0, 273.64210202379314, 232.96351645697658,0,0,1
371.0, 599.0, 622.0, 325.0, 106.47065323364932, 232.96351645697658,1,0,1
531.0, 439.0, 622.0, 325.0, 95.56673061269805, 316.7838379715733,2,0,1
563.0, 407.0, 526.0, 421.0, 159.6151621870554, 286.2167011199731,1,0,1
560.0, 410.0, 453.0, 494.0, -1, 258.90925051067603,3,0,0
947.0, 23.0, 15.0, 932.0, -1, 636.6419715978518,2,0,1
947.0, 23.0, 206.0, 741.0, 111.0, 458.1702740248433,1,0,1
819.0, 151.0, 270.0, 677.0, 97.32420048477151, 357.77087639996637,3,0,1
723.0, 247.0, 398.0, 549.0, 97.32420048477151, 226.27416997969522,0,0,1
851.0, 119.0, 462.0, 485.0, 97.32420048477151, 186.59046063504962,3,0,1
915.0, 55.0, 622.0, 325.0, 107.11675872616759, 160.0,2,0,1
915.0, 55.0, 814.0, 133.0, 112.0, 249.92798962901293,0,0,1
-1, -1, -1, -1, -1, -1,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 831.077012075295,2,0,1
947.0, 23.0, 174.0, 773.0, 95.0, 687.0691377146844,1,0,1
851.0, 119.0, 238.0, 709.0, 123.76186811776881, 588.3128419472075,3,0,1
787.0, 183.0, 366.0, 581.0, 198.9572818471342, 445.7084248698918,0,0,1
915.0, 55.0, 430.0, 517.0, 154.69324484281788, 454.80545291366064,0,0,1
962.0, 8.0, 415.0, 532.0, 144.49913494550754, 496.9044173681695,3,0,0
947.0, 23.0, 15.0, 932.0, -1, 932.4382017056143,0,0,1
-1, -1, -1, -1, -1, -1,2,0,0
947.0, 23.0, 15.0, 932.0, -1, 772.9016755060115,0,0,1
-1, -1, -1, -1, -1, -1,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 715.3635439411208,3,0,1
947.0, 23.0, 142.0, 805.0, 79.0, 704.0,2,0,1
947.0, 23.0, 302.0, 645.0, 159.0, 721.9529070514226,1,0,1
851.0, 119.0, 366.0, 581.0, 174.4161689752415, 647.9506154021308,3,0,1
787.0, 183.0, 494.0, 453.0, 250.43961347997646, 647.9506154021308,0,0,1
915.0, 55.0, 558.0, 389.0, 227.705950734714, 790.341698254622,3,0,1
962.0, 8.0, 543.0, 404.0, 207.6174366473105, 823.2630199395574,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 444.05517675171853,1,0,1
819.0, 151.0, 46.0, 901.0, 89.20201791439474, 320.0,3,0,1
755.0, 215.0, 142.0, 805.0, 123.76186811776881, 214.66252583997982,2,0,1
755.0, 215.0, 302.0, 645.0, 206.0412580043133, 202.3857702507763,3,0,1
755.0, 215.0, 462.0, 485.0, 296.1384811198977, 295.0254226333724,0,0,1
883.0, 87.0, 526.0, 421.0, 291.5956103922005, 430.5159695063587,0,0,1
970.0, 0.0, 0.0, 947.0, 351.7740752244258, 471.4795859843775,2,0,0
947.0, 23.0, 15.0, 932.0, -1, 829.689701032862,1,0,1
851.0, 119.0, 78.0, 869.0, 79.30952023559341, 715.5417527999327,1,0,1
691.0, 279.0, 78.0, 869.0, 166.24379687675568, 576.8882040742383,2,0,1
-1, -1, -1, -1, -1, -1,1,0,0
947.0, 23.0, 15.0, 932.0, -1, 1198.7464285661083,1,0,1
851.0, 119.0, 46.0, 901.0, 72.44308110509934, 1110.819517293426,3,0,1
819.0, 151.0, 174.0, 773.0, 120.42009799032718, 995.6063479106589,0,0,1
915.0, 55.0, 206.0, 741.0, 114.5294721894762, 1044.7889739081286,3,0,1
