dist_top, dist_bottom, dist_left, dist_right, dist_head_tail, dist_candy, move, score, result
947.0, 23.0, 15.0, 932.0, -1, 543.0,2,0,1
947.0, 23.0, 78.0, 869.0, 47.0, 480.0,2,0,1
947.0, 23.0, 206.0, 741.0, 111.0, 352.0,3,0,1
947.0, 23.0, 302.0, 645.0, 159.0, 256.0,2,0,1
947.0, 23.0, 430.0, 517.0, 223.0, 128.0,1,0,1
851.0, 119.0, 462.0, 485.0, 216.5848563496534, 135.7645019878171,1,0,1
723.0, 247.0, 462.0, 485.0, 249.28898892650673, 243.70473938764508,0,0,1
563.0, 407.0, 462.0, 485.0, 329.31747600150226, 395.8181400592954,3,0,1
531.0, 439.0, 558.0, 389.0, 355.38289210371397, 416.0,0,0,1
595.0, 375.0, 622.0, 325.0, 308.60330523181375, 357.77087639996637,3,0,1
659.0, 311.0, 686.0, 261.0, 299.5413160150032, 315.1634496574753,3,0,1
659.0, 311.0, 846.0, 101.0, 410.3705642465112, 407.29350596345137,3,0,1
-1, -1, -1, -1, -1, -1,0,0,1
-1, -1, -1, -1, -1, -1,0,0,1
-1, -1, -1, -1, -1, -1,0,0,1
-1, -1, -1, -1, -1, -1,1,0,0
-1, -1, -1, -1, -1, -1,3,0,1
947.0, 23.0, 15.0, 932.0, -1, 861.1068458675729,2,0,1
947.0, 23.0, 206.0, 741.0, 111.0, 779.250922360699,3,0,1
947.0, 23.0, 398.0, 549.0, 160.0, 738.7773683593725,3,0,1
947.0, 23.0, 590.0, 357.0, 160.0, 747.0475219154401,0,0,1
962.0, 8.0, 637.0, 310.0, 112.00892821556681, 771.1199647266305,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 778.9229743690964,2,0,1
947.0, 23.0, 174.0, 773.0, 95.0, 742.2344643035649,2,0,1
947.0, 23.0, 334.0, 613.0, 175.0, 738.7773683593725,2,0,1
947.0, 23.0, 526.0, 421.0, 271.0, 779.250922360699,0,0,1
-1, -1, -1, -1, -1, -1,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 945.084652293116,0,0,1
970.0, 0.0, 0.0, 947.0, 51.42956348249516, 972.2000822875916,2,0,0
947.0, 23.0, 15.0, 932.0, -1, -1,1,0,1
787.0, 183.0, 78.0, 869.0, -1, -1,3,0,1
723.0, 247.0, 206.0, 741.0, -1, -1,0,0,1
851.0, 119.0, 302.0, 645.0, -1, -1,2,0,1
915.0, 55.0, 142.0, 805.0, -1, -1,2,0,1
-1, -1, -1, -1, -1, -1,1,0,0
947.0, 23.0, 15.0, 932.0, -1, 429.7731959999367,2,0,1
947.0, 23.0, 238.0, 709.0, 32.0, 303.5786553761644,1,0,1
819.0, 151.0, 302.0, 645.0, 32.0, 163.1686244349691,1,0,1
595.0, 375.0, 302.0, 645.0, 32.0, 71.55417527999327,0,0,1
403.0, 567.0, 302.0, 645.0, 32.0, 257.9922479455536,3,0,1
307.0, 663.0, 430.0, 517.0, 32.0, 364.85613603172413,0,0,1
435.0, 535.0, 526.0, 421.0, 32.0, 295.0254226333724,2,0,1
499.0, 471.0, 366.0, 581.0, 32.0, 163.1686244349691,1,0,1
371.0, 599.0, 302.0, 645.0, 32.0, 289.77232442039735,3,0,1
275.0, 695.0, 430.0, 517.0, 32.0, 395.8181400592954,2,0,1
275.0, 695.0, 654.0, 293.0, 32.0, 499.85597925802585,0,0,1
435.0, 535.0, 718.0, 229.0, 32.0, 444.5582076623937,0,0,1
627.0, 343.0, 718.0, 229.0, 32.0, 385.33102652135346,1,0,1
851.0, 119.0, 718.0, 229.0, 32.0, 429.32505167995964,0,0,1
970.0, 0.0, 0.0, 947.0, 718.3682899460415, 456.37375034066105,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 932.5754661152093,2,0,1
947.0, 23.0, 174.0, 773.0, 95.0, 885.0762679001172,2,0,1
947.0, 23.0, 366.0, 581.0, 176.0, 864.0,3,0,1
947.0, 23.0, 558.0, 389.0, 176.0, 885.0762679001172,3,0,1
947.0, 23.0, 750.0, 197.0, 176.0, 945.4903489724261,3,0,1
947.0, 23.0, 936.0, 11.0, 170.0, 1035.0826053992018,1,0,1
-1, -1, -1, -1, -1, -1,2,0,1
755.0, 215.0, 910.0, 37.0, 26.0, 864.592389510803,3,0,1
755.0, 215.0, 718.0, 229.0, 122.0, 758.6092538323006,1,0,1
627.0, 343.0, 654.0, 293.0, 127.94530081249565, 615.532289973483,3,0,1
531.0, 439.0, 782.0, 165.0, 127.94530081249565, 611.3591415853696,1,0,1
403.0, 567.0, 846.0, 101.0, 127.94530081249565, 576.8882040742383,1,0,1
179.0, 791.0, 846.0, 101.0, 176.0, 489.50587330490737,2,0,1
115.0, 855.0, 718.0, 229.0, 127.94530081249565, 353.45155254999236,0,0,1
243.0, 727.0, 654.0, 293.0, 127.94530081249565, 329.460164511584,3,0,1
307.0, 663.0, 782.0, 165.0, 127.94530081249565, 472.4743379274688,0,0,1
435.0, 535.0, 846.0, 101.0, 127.94530081249565, 595.2344076076248,3,0,1
-1, -1, -1, -1, -1, -1,1,0,1
-1, -1, -1, -1, -1, -1,1,0,1
-1, -1, -1, -1, -1, -1,1,0,1
-1, -1, -1, -1, -1, -1,1,0,0
947.0, 23.0, 15.0, 932.0, -1, 416.38563856117804,2,0,1
947.0, 23.0, 206.0, 741.0, 111.0, 275.27440854536405,1,0,1
819.0, 151.0, 270.0, 677.0, 127.94530081249565, 135.7645019878171,3,0,1
755.0, 215.0, 398.0, 549.0, 127.94530081249565, -1,2,0,1
755.0, 215.0, 590.0, 357.0, 176.0, 226.27416997969522,2,0,1
755.0, 215.0, 782.0, 165.0, 176.0, 417.22895393296955,1,0,1
627.0, 343.0, 846.0, 101.0, 127.94530081249565, 489.50587330490737,2,0,1
563.0, 407.0, 718.0, 229.0, 127.94530081249565, 386.6574711550263,1,0,1
435.0, 535.0, 654.0, 293.0, 127.94530081249565, 407.29350596345137,1,0,1
243.0, 727.0, 654.0, 293.0, 176.0, 559.7713819051488,0,0,1
51.0, 919.0, 654.0, 293.0, 176.0, 731.1142181629352,0,0,1
-1, -1, -1, -1, -1, -1,1,0,0
947.0, 23.0, 15.0, 932.0, -1, 579.4350697015154,3,0,1
947.0, 23.0, 206.0, 741.0, 96.0, 590.0508452667448,0,0,1
962.0, 8.0, 254.0, 693.0, 50.28916384272063, 616.6498195896922,2,0,0
947.0, 23.0, 15.0, 932.0, -1, 729.0987587426,3,0,1
947.0, 23.0, 174.0, 773.0, 95.0, 643.9875775199395,3,0,1
947.0, 23.0, 334.0, 613.0, 175.0, 590.0508452667448,1,0,1
819.0, 151.0, 398.0, 549.0, 193.60010330575756, 452.54833995939043,3,0,1
755.0, 215.0, 526.0, 421.0, 231.32660893204655, 389.29680193908604,0,0,1
883.0, 87.0, 590.0, 357.0, 145.60219778561037, 527.7575200790606,1,0,1
962.0, 8.0, 574.0, 373.0, 158.64740779476983, 601.5189107584233,2,0,0
947.0, 23.0, 15.0, 932.0, -1, -1,3,0,1
947.0, 23.0, 206.0, 741.0, 48.0, -1,1,0,1
819.0, 151.0, 302.0, 645.0, 48.0, -1,1,0,1
595.0, 375.0, 302.0, 645.0, 48.0, -1,3,0,1
531.0, 439.0, 430.0, 517.0, 48.0, -1,3,0,1
531.0, 439.0, 654.0, 293.0, 48.0, -1,3,0,1
531.0, 439.0, 846.0, 101.0, 48.0, -1,3,0,1
-1, -1, -1, -1, -1, -1,3,0,1
-1, -1, -1, -1, -1, -1,3,0,0
947.0, 23.0, 15.0, 932.0, -1, 142.21462653327893,2,0,1
